index_col,tweet_text,country,no_user_mentions,ukraine,russia,ukrainewar,istandwithukraine,standwithukraineflag,istandwithputin,istandwithrussia,russianukrainewar
1,year old boy sees world raped soldier front mother find ,Italy,1,0,1,0,0,0,0,0,0
2,another victim putin failed presidency illegal war rest peace ,Ukraine,2,1,0,0,0,0,0,0,0
3,volunteers glory heroes ,Ukraine,1,1,0,0,0,0,0,0,0
4,catastrophic explosion claimed russian tank eastern front ,Spain,1,1,0,0,0,0,0,0,0
5,year old boy sees world raped soldier front mother find ,Australia,1,0,1,0,0,0,0,0,0
6,last shout direct request incredible small shelter caring pups like please support final pus ,Ireland,1,0,0,0,0,0,0,0,0
7,modified commercial drone dropped munition ukrainian nd mechanized brigade released footage ,Spain,1,0,0,0,0,0,0,0,0
8,bold move,Germany,1,0,0,0,0,0,0,0,0
9,k country supporting like ,India,1,1,1,0,0,0,0,0,0
10, love ,United Kingdom,1,1,0,0,0,0,0,0,0
11,heroes glory ,France,1,1,0,0,0,0,0,0,0
12,giveaway end cdt last entries follow amp pinned tag friends drop ,Tunisia,1,0,0,0,0,0,0,0,0
13,infamous open letter intellectuals amp artists calling stop supporting amp effectively fo ,Ukraine,1,1,0,0,0,0,0,0,0
14,final call animal aid wishlist purchasing added lots frontline following direct request f ,Ireland,1,1,0,0,0,0,0,0,0
15,map spring ,Ukraine,0,1,0,0,0,0,0,0,0
16,troops significant casualties near staryi saltiv region general staff armed forces ,Finland,1,0,0,0,0,0,0,0,0
17,exclusive video kharkiv terrorists attempt destroy memorial park honoring world wa ,Latvia,1,1,0,0,0,0,0,0,0
18,modified commercial drone dropped munition ukrainian nd mechanized brigade released footage ,Indonesia,1,0,0,0,0,0,0,0,0
19,year old boy sees world raped soldier front mother find ,Ukraine,1,0,1,0,0,0,0,0,0
20,invaders planned go mission instead went hell rapid response brigade national guard ,Latvia,1,0,0,0,0,0,0,0,0
21,update yesterday attack rus hq designed liquidate high value target chief g ,Sweden,1,1,0,0,0,0,0,0,0
22,increased gas supply end current year russia europe clos ,India,1,0,2,0,0,0,0,0,0
23, british ambassador melinda simmons said interview observer returned ,Ukraine,0,1,0,0,0,0,0,0,0
24,interesting improvised weapon spotted hands ukrainian troops mt lbu apc modded two b ,Canada,1,1,0,0,0,0,0,0,0
25, raising victory flag hammer sickle occupied city th ,France,0,0,0,0,0,0,0,0,0
26,car purchased donated remember bero georgian fighter fell irpin ,Ukraine,1,1,0,0,0,0,0,0,0
27,yesterday moment attack high ranked russian military officers gathered hqs ,Sweden,1,1,0,0,0,0,0,0,0
28,beautiful ,Ireland,1,1,0,0,0,0,0,0,0
29,catastrophic explosion claimed russian tank eastern front ,Ukraine,1,1,0,0,0,0,0,0,0
30, poignant amp powerful photo equally tragic backstory childhood stolen epi ,Canada,2,0,0,0,0,0,0,0,0
31,occupied territories military destroying medical infrastructure removing equipment equip ,Latvia,1,0,0,0,0,0,0,0,0
32,update yesterday attack rus hq designed liquidate high value target chief g ,United Kingdom,1,1,0,0,0,0,0,0,0
33,volunteers glory heroes ,Ukraine,1,1,0,0,0,0,0,0,0
34,given degree russia deifies soviets killed wwii notable reportedly targeting even ,Canada,1,0,1,0,0,0,0,0,0
35,happy everyone give follow want live world promotes rather ,United Kingdom,1,0,0,0,0,0,0,0,0
36,exclusive first photos railway bridge sabotage took place today far inve ,India,0,0,1,0,0,0,0,0,0
37,soooo close better luck next time ,New Zealand,0,0,0,0,0,0,0,0,0
38,year old boy sees world raped soldier front mother find ,Canada,1,0,1,0,0,0,0,0,0
39,caitlin johnstone anti war easy propaganda works know propagand ,Netherlands,0,0,0,0,0,0,0,0,0
40,reportedly along maj general simonov high ranking officers including majors colonels killed ,Spain,1,0,0,0,0,0,0,0,0
41,russia invasion ukraine left world divided big question world st ,Canada,1,1,1,0,0,0,0,0,0
42,railway bridge blown region ,Latvia,1,0,1,0,0,0,0,0,0
43,railway bridge mysteriously collapsed last night sof work doubt glor ,Spain,1,1,0,0,0,0,0,0,0
44,yesterday moment attack high ranked russian military officers gathered hqs ,Switzerland,1,1,0,0,0,0,0,0,0
45,meanwhile sapper dog continues clear area near past day together ,Canada,1,0,0,0,0,0,0,0,0
46,russia aggressor world must hold accountable wrote ,India,1,0,2,0,0,0,0,0,0
47,village gorenka elderly lady bakes easter cakes ruined house people lost everything ,Belgium,1,1,0,0,0,0,0,0,0
48,nice compilation glory ,Ukraine,1,1,0,0,0,0,0,0,0
49,occupied territories military destroying medical infrastructure removing equipment equip ,Sweden,1,0,0,0,0,0,0,0,0
50,watch minister wu exclusive interview via global public square discuss lessons ,Ukraine,3,0,0,0,0,0,0,0,0
51,modified commercial drone dropped munition ukrainian nd mechanized brigade released footage ,Italy,1,0,0,0,0,0,0,0,0
52,video onyx supersonic missile begins journey airport armaments stored ,United Kingdom,1,0,0,0,0,0,0,0,0
53,yet another russian ka attack helicopter struck ukrainian stugna p atgm predictable results htt ,United States,1,1,0,0,0,0,0,0,0
